Area Code,Churn,Day Mins,Day Mins,State,churn_transformed,prediction,prob,CustServ Calls,Intl Mins
415,1,0,0,SD,1,1,1.000000000,4,6.8
510,1,46.5,46.5,DE,1,1,1.000000000,4,9.6
510,1,47.7,47.7,FL,1,1,1.000000000,0,13.2
510,1,47.8,47.8,KS,1,1,1.000000000,0,13.3
510,1,54.2,54.2,NH,1,1,1.000000000,1,8.6
415,1,58.2,58.2,AK,1,1,1.000000000,5,11.9
415,1,61.2,61.2,WV,1,1,1.000000000,5,13.7
408,1,61.6,61.6,NY,1,1,1.000000000,4,8.2
408,1,62.4,62.4,CO,1,1,1.000000000,5,5.7
408,1,62.6,62.6,KS,1,1,1.000000000,1,10.4
415,1,70.7,70.7,MS,1,1,1.000000000,4,9.1
408,1,70.8,70.8,WA,1,1,1.000000000,6,9.5
510,1,73.3,73.3,SC,1,1,1.000000000,4,8.2
510,1,78.6,78.6,WA,1,1,1.000000000,1,7.4
510,1,81.7,81.7,MN,1,1,1.000000000,6,11.3
510,1,81.9,81.9,TX,1,1,1.000000000,2,8.9
415,1,82.3,82.3,MS,1,1,1.000000000,6,11.8
415,1,85.7,85.7,ME,1,1,1.000000000,4,11.6
510,1,87.2,87.2,UT,1,1,1.000000000,6,10.9
408,1,89.5,89.5,NV,1,1,1.000000000,1,7.9
408,1,89.7,89.7,OK,1,1,1.000000000,5,13.5
408,1,89.8,89.8,MT,1,1,1.000000000,4,9.3
408,1,90,90,NH,1,1,1.000000000,2,8.6
415,1,92.6,92.6,churn analysis,1,1,1.000000000,5,11.3
415,1,96.5,96.5,MT,1,1,1.000000000,1,12.5
510,1,96.6,96.6,WV,1,1,1.000000000,4,6.2
415,1,96.8,96.8,ID,1,1,1.000000000,2,10.9
415,1,99.6,99.6,VA,1,1,1.000000000,2,13.7
408,1,103.2,103.2,NC,1,1,1.000000000,0,11.9
415,1,103.5,103.5,ID,1,1,1.000000000,4,12
408,1,105,105,PA,1,1,1.000000000,2,10.2
