Area Code,Churn,Day Mins,Day Mins,State,churn_transformed,prediction,prob,CustServ Calls,Intl Mins
510,0,0,0,VT,0,0,2.900701465e-12,1,7.2
510,0,2.6,2.6,OK,0,0,2.900701465e-12,3,9.2
415,0,7.8,7.8,OH,0,0,2.900701465e-12,2,12.9
415,0,7.9,7.9,WI,0,0,2.900701465e-12,0,12.1
415,0,12.5,12.5,OR,0,0,2.900701465e-12,1,7.7
408,0,17.6,17.6,NH,0,0,2.900701465e-12,1,10.6
510,0,18.9,18.9,MI,0,0,2.900701465e-12,1,14.8
510,0,19.5,19.5,SC,0,0,2.900701465e-12,0,7.9
415,0,25.9,25.9,WY,0,0,2.900701465e-12,1,6.5
415,0,27,27,KS,0,0,2.900701465e-12,3,10.7
408,0,29.9,29.9,SC,0,0,2.900701465e-12,2,8.6
415,0,30.9,30.9,CO,0,0,2.900701465e-12,1,8.6
415,0,34,34,NE,0,0,2.900701465e-12,0,11.5
415,0,35.1,35.1,PA,0,0,2.900701465e-12,1,12.7
415,0,37.7,37.7,WA,0,0,2.900701465e-12,1,4.9
415,0,37.8,37.8,CT,0,0,2.900701465e-12,3,14.2
408,0,39.5,39.5,SC,0,0,2.900701465e-12,0,10
408,0,40.4,40.4,RI,0,0,2.900701465e-12,2,9
415,0,40.9,40.9,NJ,0,0,2.900701465e-12,0,11.9
415,0,41.9,41.9,HI,0,0,2.900701465e-12,1,11.4
408,0,44.9,44.9,VA,0,0,2.900701465e-12,1,13.3
408,0,45,45,MO,0,0,2.900701465e-12,2,9.8
408,0,47.4,47.4,OK,0,0,2.900701465e-12,2,10.5
408,0,48.4,48.4,NE,0,0,2.900701465e-12,1,18.2
408,0,49.2,49.2,CT,0,0,2.900701465e-12,1,12.1
510,0,49.9,49.9,IN,0,0,2.900701465e-12,2,10.1
408,0,50.6,50.6,MN,0,0,2.900701465e-12,2,4.2
408,0,51.1,51.1,MO,0,0,2.900701465e-12,1,12.3
408,0,51.5,51.5,DC,0,0,2.900701465e-12,3,9.5
510,0,51.8,51.8,OR,0,0,2.900701465e-12,2,10.4
408,0,51.9,51.9,CT,0,0,2.900701465e-12,3,10.1
408,0,52.2,52.2,SC,0,0,2.900701465e-12,2,11.4
408,0,54,54,MN,0,0,2.900701465e-12,1,10.2
415,0,54.7,54.7,NC,0,0,2.900701465e-12,1,11.1
408,0,54.8,54.8,TN,0,0,2.900701465e-12,1,7.5
408,0,55.3,55.3,AR,0,0,2.900701465e-12,1,10.2
415,0,55.6,55.6,ID,0,0,2.900701465e-12,0,11.3
408,0,55.6,55.6,FL,0,0,2.900701465e-12,2,12.1
415,0,57.1,57.1,DC,0,0,2.900701465e-12,3,6.5
415,0,57.5,57.5,MI,0,0,2.900701465e-12,3,11.6
415,0,58,58,WV,0,0,2.900701465e-12,0,11.5
510,0,58.2,58.2,NE,0,0,2.900701465e-12,0,10.4
