Area Code,Day Mins,State,Prob,Distinct count of CustServ Calls,Distinct count of Eve Mins,Distinct count of Intl Mins
408,278.4,AK,2.143344585e-11,1,1,1
415,278,AK,0.008141052,1,1,1
415,262.3,AK,0.151518597,1,1,1
415,252.4,AK,0.111987487,1,1,1
415,248.7,AK,0.040660196,1,1,1
408,245,AK,2.143344585e-11,1,1,1
415,242.5,AK,0.138260460,1,1,1
510,238.4,AK,2.143344585e-11,1,1,1
408,225.1,AK,2.143344585e-11,1,1,1
408,217,AK,2.143344585e-11,1,1,1
415,211.7,AK,0.046210432,1,1,1
415,203.9,AK,0.199415058,1,1,1
415,195.9,AK,0.240292034,1,1,1
510,190.9,AK,2.143344585e-11,1,1,1
510,190.3,AK,2.143344585e-11,1,1,1
510,185,AK,2.143344585e-11,1,1,1
408,183.6,AK,2.143344585e-11,1,1,1
510,183.2,AK,2.143344585e-11,1,1,1
510,182.5,AK,2.143344585e-11,1,1,1
408,182.3,AK,2.143344585e-11,1,1,1
415,181.5,AK,0.256715517,1,1,1
510,181.1,AK,2.143344585e-11,1,1,1
415,178.4,AK,0.035154727,1,1,1
415,175.7,AK,0.086207611,1,1,1
408,175.2,AK,2.143344585e-11,1,1,1
510,174.9,AK,2.143344585e-11,1,1,1
415,172.8,AK,0.549660477,1,1,1
510,172.5,AK,2.143344585e-11,1,1,1
415,170.9,AK,0.031199553,1,1,1
415,160.1,AK,0.300009186,1,1,1
408,159.5,AK,2.143344585e-11,1,1,1
415,159.3,AK,0.032511077,1,1,1
408,150.8,AK,2.143344585e-11,1,1,1
408,150,AK,2.143344585e-11,1,1,1
415,148.4,AK,0.008156833,1,1,1
510,148.3,AK,2.143344585e-11,1,1,1
408,146.3,AK,2.143344585e-11,1,1,1
510,135.8,AK,2.143344585e-11,1,1,1
510,133,AK,2.143344585e-11,1,1,1
415,103,AK,0.023780685,1,1,1
408,100.1,AK,2.143344585e-11,1,1,1
408,83.2,AK,2.143344585e-11,1,1,1
415,58.2,AK,0.740119020,1,1,1
510,308,AL,2.143344585e-11,1,1,1
408,267.9,AL,1.000000000,1,1,1
408,264.9,AL,1.000000000,1,1,1
415,264.4,AL,2.220446049e-16,1,1,1
415,262.9,AL,2.220446049e-16,1,1,1
415,254.4,AL,2.220446049e-16,1,1,1
408,246.6,AL,1.633731746e-10,1,1,1
415,242.9,AL,2.220446049e-16,1,1,1
408,242.8,AL,7.328351200e-11,1,1,1
408,242.2,AL,3.966815862e-10,1,1,1
415,237.7,AL,2.220446049e-16,1,1,1
408,237.2,AL,2.220446049e-16,1,1,1
415,232.5,AL,2.220446049e-16,1,1,1
510,232.4,AL,2.143344585e-11,1,1,1
510,230.9,AL,2.143344585e-11,1,1,1
415,230.3,AL,2.220446049e-16,1,1,1
415,229.9,AL,8.122140681e-10,1,1,1
408,224.7,AL,2.220446049e-16,1,1,1
510,223.4,AL,2.143344585e-11,1,1,1
415,223,AL,2.220446049e-16,1,1,1
408,218.9,AL,2.220446049e-16,1,1,1
415,217.8,AL,2.220446049e-16,1,1,1
415,214.4,AL,2.220446049e-16,1,1,1
415,212.9,AL,2.220446049e-16,1,1,1
408,209.5,AL,2.220446049e-16,1,1,1
510,207.6,AL,2.143344585e-11,1,1,1
408,202.3,AL,2.220446049e-16,1,1,1
415,200.6,AL,2.220446049e-16,1,1,1
415,194.6,AL,2.220446049e-16,1,1,1
510,194.4,AL,2.143344585e-11,1,1,1
415,192.7,AL,2.220446049e-16,1,1,1
510,192.3,AL,2.143344585e-11,1,1,1
415,192.2,AL,2.220446049e-16,1,1,1
415,191.9,AL,0.999999999,1,1,1
415,190.3,AL,2.220446049e-16,1,1,1
510,189.4,AL,2.143344585e-11,1,1,1
415,183.4,AL,2.220446049e-16,1,1,1
415,181.9,AL,2.220446049e-16,1,1,1
415,178,AL,2.220446049e-16,1,1,1
415,177.5,AL,2.220446049e-16,1,1,1
408,169.3,AL,2.220446049e-16,1,1,1
415,166.5,AL,2.220446049e-16,1,1,1
415,163,AL,2.220446049e-16,1,1,1
415,161.9,AL,2.054469919e-13,1,1,1
408,161,AL,2.220446049e-16,1,1,1
415,160.3,AL,2.220446049e-16,1,1,1
510,158.7,AL,2.143344585e-11,1,1,1
415,154,AL,2.220446049e-16,1,1,1
510,153.4,AL,2.143344585e-11,1,1,1
408,151.8,AL,2.220446049e-16,1,1,1
415,143.1,AL,2.220446049e-16,1,1,1
408,141.3,AL,2.220446049e-16,1,1,1
415,128.3,AL,1.000000000,1,1,1
408,128.2,AL,2.220446049e-16,1,1,1
415,128.1,AL,2.220446049e-16,1,1,1
408,127.9,AL,2.220446049e-16,1,1,1
415,127.3,AL,1,1,1,1
510,109.4,AL,2.143344585e-11,1,1,1
415,103.3,AL,2.220446049e-16,1,1,1
415,98.8,AL,2.220446049e-16,1,1,1
415,95,AL,3.975090825e-10,1,1,1
408,86.8,AL,2.220446049e-16,1,1,1
408,83.6,AL,2.220446049e-16,1,1,1
408,268,AR,5.639373561e-12,1,1,1
415,267.8,AR,0.997095777,1,1,1
415,253,AR,0.302976936,1,1,1
408,251.9,AR,1.093697974e-11,1,1,1
415,247.6,AR,0.209054901,1,1,1
415,247.5,AR,0.349638206,1,1,1
510,242.3,AR,1.000000000,1,1,1
415,238.9,AR,0.219406310,1,1,1
415,227.1,AR,0.964433601,1,1,1
415,224.2,AR,0.088850600,1,1,1
415,215.1,AR,0.058460348,1,1,1
510,214.9,AR,3.654482366e-11,1,1,1
415,209.7,AR,0.118622293,1,1,1
408,206.9,AR,2.220446049e-16,1,1,1
415,199.2,AR,0.642363176,1,1,1
408,197,AR,2.220446049e-16,1,1,1
510,192.8,AR,3.615730018e-11,1,1,1
408,185.8,AR,2.588593576e-11,1,1,1
415,185.4,AR,0.419065257,1,1,1
415,178.8,AR,0.027887419,1,1,1
510,175.4,AR,2.220446049e-16,1,1,1
510,172.7,AR,2.117586466e-12,1,1,1
510,170.7,AR,2.220446049e-16,1,1,1
415,164,AR,0.002021159,1,1,1
510,160.7,AR,2.220446049e-16,1,1,1
415,157.6,AR,0.005347209,1,1,1
415,157.3,AR,0.003576938,1,1,1
415,157,AR,0.220696182,1,1,1
408,154.6,AR,2.220446049e-16,1,1,1
408,152.9,AR,8.069057027e-11,1,1,1
408,152.2,AR,3.277268235e-12,1,1,1
510,148.5,AR,7.554633409e-12,1,1,1
510,146.5,AR,2.220446049e-16,1,1,1
415,146.3,AR,0.031848712,1,1,1
408,145.7,AR,2.220446049e-16,1,1,1
415,143.2,AR,0.627238667,1,1,1
510,142.5,AR,2.220446049e-16,1,1,1
415,139.3,AR,0.999165825,1,1,1
408,136.2,AR,2.220446049e-16,1,1,1
415,133.3,AR,0.626369103,1,1,1
510,133.1,AR,2.220446049e-16,1,1,1
415,124.3,AR,0.012776414,1,1,1
415,122.2,AR,0.960245565,1,1,1
415,111.2,AR,0.990730141,1,1,1
408,107.3,AR,1.000000000,1,1,1
415,96.7,AR,0.119344250,1,1,1
415,69.4,AR,0.002785011,1,1,1
408,55.3,AR,2.390336756e-11,1,1,1
510,272.4,AZ,2.220446049e-16,1,1,1
415,271.6,AZ,2.114699691e-10,1,1,1
415,268.4,AZ,1.000000000,1,1,1
415,253.5,AZ,2.220446049e-16,1,1,1
408,249.6,AZ,1.000000000,1,1,1
408,239.9,AZ,4.693030227e-11,1,1,1
408,238.1,AZ,2.633477050e-11,1,1,1
415,232.4,AZ,2.220446049e-16,1,1,1
415,220.8,AZ,2.895798394e-10,1,1,1
415,220.7,AZ,3.168635521e-11,1,1,1
510,215.4,AZ,2.220446049e-16,1,1,1
415,210.7,AZ,1.357412399e-10,1,1,1
510,205.2,AZ,2.220446049e-16,1,1,1
510,204.5,AZ,2.220446049e-16,1,1,1
415,198.2,AZ,2.220446049e-16,1,1,1
415,194.9,AZ,2.220446049e-16,1,1,1
415,193.3,AZ,2.220446049e-16,1,1,1
415,183,AZ,2.220446049e-16,1,1,1
408,181.8,AZ,2.220446049e-16,1,1,1
415,179.3,AZ,2.220446049e-16,1,1,1
415,179.2,AZ,2.220446049e-16,1,1,1
415,179.1,AZ,2.220446049e-16,1,1,1
510,178.7,AZ,1.705431143e-10,1,1,1
408,173.2,AZ,2.220446049e-16,1,1,1
415,172.8,AZ,2.220446049e-16,1,1,1
408,170.1,AZ,1.749460940e-11,1,1,1
408,169.7,AZ,5.402691316e-13,1,1,1
408,167.6,AZ,2.220446049e-16,2,2,2
408,158,AZ,2.220446049e-16,1,1,1
415,156.2,AZ,2.220446049e-16,1,1,1
415,155.9,AZ,2.220446049e-16,1,1,1
510,154,AZ,1.000000000,1,1,1
415,153.7,AZ,2.220446049e-16,1,1,1
408,150.2,AZ,2.007088440e-11,1,1,1
408,149.8,AZ,2.220446049e-16,1,1,1
415,142.9,AZ,2.220446049e-16,1,1,1
415,141.1,AZ,2.220446049e-16,1,1,1
415,137.8,AZ,2.220446049e-16,1,1,1
408,137.3,AZ,2.220446049e-16,1,1,1
415,134.2,AZ,2.220446049e-16,1,1,1
415,131.1,AZ,2.220446049e-16,1,1,1
510,121.5,AZ,3.223327029e-13,1,1,1
510,110.9,AZ,4.494828947e-11,1,1,1
415,104.7,AZ,2.220446049e-16,1,1,1
415,98.2,AZ,2.220446049e-16,1,1,1
510,92,AZ,2.160677807e-11,1,1,1
415,87.6,AZ,2.220446049e-16,1,1,1
510,81.3,AZ,2.220446049e-16,1,1,1
510,78.7,AZ,2.220446049e-16,1,1,1
415,58.9,AZ,2.220446049e-16,1,1,1
415,280,CA,0.138082753,1,1,1
415,268.6,CA,0.308655225,1,1,1
415,252.1,CA,0.028229673,1,1,1
408,249.8,CA,1.000000000,1,1,1
510,239.9,CA,1,1,1,1
415,218,CA,0.465560252,1,1,1
415,210.3,CA,0.186371710,1,1,1
415,208.7,CA,0.114849682,1,1,1
