Area Code,Day Mins,State,Prob,Eve Mins,Population variance of CustServ Calls,Population variance of Intl Mins
408,278.4,AK,2.143344585e-11,81,0,0
415,278,AK,0.008141052,253.2,0,0
415,262.3,AK,0.151518597,198.9,0,0
415,252.4,AK,0.111987487,187.8,0,0
415,248.7,AK,0.040660196,172.3,0,0
408,245,AK,2.143344585e-11,216.9,0,0
415,242.5,AK,0.138260460,102.8,0,0
510,238.4,AK,2.143344585e-11,246.5,0,0
408,225.1,AK,2.143344585e-11,199.2,0,0
408,217,AK,2.143344585e-11,152.3,0,0
415,211.7,AK,0.046210432,159.9,0,0
415,203.9,AK,0.199415058,187.6,0,0
415,195.9,AK,0.240292034,228.6,0,0
510,190.9,AK,2.143344585e-11,226.6,0,0
510,190.3,AK,2.143344585e-11,194.5,0,0
510,185,AK,2.143344585e-11,232.5,0,0
408,183.6,AK,2.143344585e-11,58.6,0,0
510,183.2,AK,2.143344585e-11,126.8,0,0
510,182.5,AK,2.143344585e-11,204.7,0,0
408,182.3,AK,2.143344585e-11,169.9,0,0
415,181.5,AK,0.256715517,205.1,0,0
510,181.1,AK,2.143344585e-11,314.4,0,0
415,178.4,AK,0.035154727,168.3,0,0
415,175.7,AK,0.086207611,187.2,0,0
408,175.2,AK,2.143344585e-11,151.7,0,0
510,174.9,AK,2.143344585e-11,262,0,0
415,172.8,AK,0.549660477,183.1,0,0
510,172.5,AK,2.143344585e-11,142.6,0,0
415,170.9,AK,0.031199553,201.4,0,0
415,160.1,AK,0.300009186,168.7,0,0
408,159.5,AK,2.143344585e-11,167.2,0,0
415,159.3,AK,0.032511077,125.9,0,0
408,150.8,AK,2.143344585e-11,295.9,0,0
408,150,AK,2.143344585e-11,159.4,0,0
415,148.4,AK,0.008156833,193.8,0,0
510,148.3,AK,2.143344585e-11,181.6,0,0
408,146.3,AK,2.143344585e-11,162.5,0,0
510,135.8,AK,2.143344585e-11,200.6,0,0
510,133,AK,2.143344585e-11,262.8,0,0
415,103,AK,0.023780685,242.3,0,0
408,100.1,AK,2.143344585e-11,233.3,0,0
408,83.2,AK,2.143344585e-11,190.6,0,0
415,58.2,AK,0.740119020,138.7,0,0
510,308,AL,2.143344585e-11,247.8,0,0
408,267.9,AL,1.000000000,223,0,0
408,264.9,AL,1.000000000,281.2,0,0
415,264.4,AL,2.220446049e-16,219.6,0,0
415,262.9,AL,2.220446049e-16,149.5,0,0
415,254.4,AL,2.220446049e-16,161.7,0,0
408,246.6,AL,1.633731746e-10,141.4,0,0
415,242.9,AL,2.220446049e-16,170.9,0,0
408,242.8,AL,7.328351200e-11,234.1,0,0
408,242.2,AL,3.966815862e-10,159.7,0,0
415,237.7,AL,2.220446049e-16,207.1,0,0
408,237.2,AL,2.220446049e-16,222.6,0,0
415,232.5,AL,2.220446049e-16,205.5,0,0
510,232.4,AL,2.143344585e-11,186,0,0
510,230.9,AL,2.143344585e-11,187.4,0,0
415,230.3,AL,2.220446049e-16,77.9,0,0
415,229.9,AL,8.122140681e-10,202.4,0,0
408,224.7,AL,2.220446049e-16,129.4,0,0
510,223.4,AL,2.143344585e-11,220.6,0,0
415,223,AL,2.220446049e-16,110.1,0,0
408,218.9,AL,2.220446049e-16,299.9,0,0
